image_id,wear_pattern,class_id,condition,severity,cause,corrective_action
IMG_8874 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8877 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8880 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8884 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8887 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8890 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8893 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8896 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8899 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8903 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8906 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8909 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8912 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8916 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8919 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8781 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8784 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8787 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8790 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8793 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8796 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8799 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8802 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8805 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8808 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8811 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8814 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8817 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8820 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8939 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8942 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8945 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8948 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8951 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8954 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8957 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8960 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8963 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8966 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8969 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8972 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8975 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8978 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8981 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8984 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8987 - Viren Viren.JPG,edge_wear,1,safe,moderate,Possible underinflation,Inspect pressure and alignment
IMG_8990 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8993 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8996 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8999 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9003 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9006 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9009 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9012 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9015 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9018 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9021 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9024 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9027 - Viren Viren.JPG,edge_wear,1,moderate,moderate,Possible underinflation,Inspect pressure and alignment
IMG_9030 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9033 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9036 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9039 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9042 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9045 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9048 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9051 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9054 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9057 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9060 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9063 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9066 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9069 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9072 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9075 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9079 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9084 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9087 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9090 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9094 - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9097 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9101 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9104 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9107 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9110 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9113 - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9116 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9119 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9123 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9126 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9129 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9132 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9135 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9138 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9200 - Viren Viren.JPG,edge_wear,1,moderate,moderate,Possible underinflation,Inspect pressure and alignment
IMG_9301 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9304 - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9307 - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9310 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9314 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9317 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9320 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9323 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9326[1] - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9329 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9332 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9335 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9344 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9347 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9350 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9353 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9356 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9359 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9362 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9365 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9368 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9371 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9374 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9377 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9380 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9383 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9386 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9389 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9392 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9395 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9398 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9404 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9407 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9410 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9413 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9416 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9419 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9423 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9426 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9429 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9433 - Shubham Chodankar.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9498 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9628 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9631 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9634 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9637 - Ubaid Elahi Baba.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9640 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9643 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9646 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9649 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9652 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9655 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9658 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9662 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9665 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9668 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9671 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9674 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9677 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9680 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9683 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9686 - Ubaid Elahi Baba.JPG,edge_wear,1,safe,moderate,Possible underinflation,Inspect pressure and alignment
IMG_9689 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9692 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9695 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9698 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9701 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9704 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9707 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9710 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9713 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9716 - Ubaid Elahi Baba.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9719 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9722 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9725 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9729 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9733 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9736 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9740 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9744 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9747 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9750 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9753 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9492 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9501 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9504 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9507 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9510 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9513 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9516 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9519 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9522 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9525 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9528 - Ubaid Elahi Baba.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9531 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9534 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9537 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9544 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9547 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9550 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9553 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9556 - Ubaid Elahi Baba.JPG,edge_wear,1,moderate,moderate,Possible underinflation,Inspect pressure and alignment
IMG_9559 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9562 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9565 - Ubaid Elahi Baba.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9568 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9571 - Ubaid Elahi Baba.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9574 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9577 - Ubaid Elahi Baba.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9580 - Ubaid Elahi Baba.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9583 - Ubaid Elahi Baba.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9586 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9589 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9592 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9595 - Ubaid Elahi Baba.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9598 - Ubaid Elahi Baba.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9601 - Ubaid Elahi Baba.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_9604 - Ubaid Elahi Baba.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9607 - Ubaid Elahi Baba.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9610 - Ubaid Elahi Baba.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9613 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9616 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9619 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9622 - Ubaid Elahi Baba.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9847 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9850 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9853 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9856 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9859 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9862 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9866 - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_9869 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9872 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9875 - Viren Viren.JPG,edge_wear,1,safe,moderate,Possible underinflation,Inspect pressure and alignment
IMG_9878 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9882 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9885 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9888 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9891 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9894 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9897 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9900 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9903 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9906 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9910 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9913 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9916 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9919 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9923 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9926 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9930 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9934 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9938 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9942 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9946 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9950 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9954 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9957 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9960 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9963 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9966 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9970 - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_9974 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9977 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9980 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9983 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_9986 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9989 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9992 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_9995 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_9998 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_0002 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_0005 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_0008 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_0011 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_0014 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
